wdidx, widx
14, 5715
14, 5715
14, 5715
14, 6594
14, 6594
15, 1540
15, 1798
15, 2410
15, 3400
15, 3487
15, 3550
15, 3605
15, 3815
15, 3816
15, 4008
15, 4070
15, 4070
15, 4070
15, 4070
15, 4189
15, 4723
15, 5588
15, 5715
15, 5715
15, 5715
15, 5719
15, 5808
15, 5853
15, 5904
15, 5904
15, 5906
15, 6115
15, 6424
15, 6730
15, 6730
15, 6730
17, 1677
17, 1677
17, 1691
17, 1718
17, 2166
17, 2210
17, 3145
17, 3145
17, 3156
17, 3244
17, 3359
17, 3385
17, 3385
17, 3385
17, 3385
17, 3749
17, 3851
17, 3851
17, 3851
17, 4089
17, 4098
17, 4721
17, 4860
17, 4860
17, 5088
17, 5210
17, 5938
17, 6132
17, 6252
17, 6450
17, 6594
17, 6594
18, 49
18, 413
18, 413
18, 413
18, 413
18, 413
18, 413
18, 413
18, 413
18, 492
18, 492
18, 497
18, 497
18, 497
18, 771
18, 884
18, 2114
18, 2742
18, 2950
18, 3644
18, 4071
18, 4491
18, 5458
18, 5629
19, 492
19, 497
19, 497
19, 1382
19, 3133
19, 4158
19, 4416
19, 5344
19, 5558
19, 5558
19, 6189
19, 6594
20, 14
20, 58
20, 238
20, 367
20, 492
20, 492
20, 492
20, 492
20, 496
20, 496
20, 497
20, 497
20, 497
20, 502
20, 502
20, 502
20, 502
20, 502
20, 502
20, 502
20, 502
20, 502
20, 607
20, 607
20, 1350
20, 1712
20, 1712
20, 1739
20, 1739
20, 2040
20, 2050
20, 2112
20, 2279
20, 2279
20, 2282
20, 2282
20, 2282
20, 2282
20, 2297
20, 2419
20, 2419
20, 2465
20, 2580
20, 3031
20, 3288
20, 3288
20, 3489
20, 3689
20, 3812
20, 3851
20, 3851
20, 3851
20, 3852
20, 3876
20, 3881
20, 3881
20, 3881
20, 4030
20, 4259
20, 4354
20, 4354
20, 4399
20, 4570
20, 4886
20, 5528
20, 5558
20, 5715
20, 5715
20, 5811
20, 5930
20, 5977
20, 6078
20, 6082
20, 6082
20, 6082
20, 6082
20, 6153
20, 6241
20, 6241
20, 6241
20, 6242
20, 6243
20, 6243
20, 6243
20, 6243
20, 6243
20, 6243
20, 6243
20, 6243
20, 6243
20, 6570
20, 6594
20, 6594
20, 6681
21, 73
21, 100
21, 164
21, 287
21, 297
21, 297
21, 297
21, 369
21, 371
21, 527
21, 714
21, 781
21, 937
21, 937
21, 1231
21, 1300
21, 1441
21, 1537
21, 1943
21, 2064
21, 2090
21, 2201
21, 2239
21, 2536
21, 2547
21, 2547
21, 2681
21, 2681
21, 2681
21, 2681
21, 2681
21, 2681
21, 2681
21, 2695
21, 2712
21, 2762
21, 2946
21, 3097
21, 3097
21, 3102
21, 3109
21, 3160
21, 3555
21, 3576
21, 3643
21, 3780
21, 3785
21, 3815
21, 3815
21, 3815
21, 3876
21, 4235
21, 4401
21, 4617
21, 4696
21, 4764
21, 5483
21, 5483
21, 5588
21, 5603
21, 5605
21, 5611
21, 5693
21, 5693
21, 5846
21, 5846
21, 5846
21, 5846
21, 5909
21, 5969
