wdidx, widx
72, 4213
72, 4618
72, 4740
72, 3861
72, 5492
72, 2660
72, 1795
72, 2472
73, 1529
73, 4157
73, 6528
73, 465
73, 6603
73, 4764
73, 6082
73, 6594
73, 4616
74, 6683
74, 1673
74, 4501
74, 3372
74, 5926
74, 6707
74, 1447
74, 4240
74, 5903
74, 4574
75, 5502
75, 3205
75, 5427
75, 5427
75, 6024
76, 2737
76, 5822
76, 6721
76, 2979
76, 3087
76, 6594
76, 2418
76, 5844
76, 6675
76, 6413
76, 1220
76, 5737
77, 5337
77, 5097
77, 4572
77, 5337
77, 1672
77, 6193
77, 2073
77, 3240
77, 1672
77, 2094
78, 3775
78, 2876
78, 5715
78, 1542
78, 5219
78, 5592
78, 1330
78, 5219
79, 6721
79, 6721
79, 5225
79, 1405
79, 899
79, 5225
79, 3340
79, 2013
79, 5528
80, 5142
80, 5138
80, 6086
81, 3292
81, 6195
81, 3671
81, 3671
81, 3876
81, 3876
81, 3671
81, 6192
81, 975
81, 6192
81, 6609
81, 6195
82, 1470
82, 612
82, 4118
82, 2202
82, 408
83, 5928
83, 1426
83, 3876
83, 5703
83, 6061
84, 3287
84, 5068
84, 4231
84, 462
84, 5088
84, 4474
84, 6126
84, 3292
85, 2793
85, 1970
85, 4624
85, 5370
85, 5715
85, 4624
86, 3288
86, 6002
86, 2297
86, 5243
86, 6721
86, 37
86, 265
86, 6594
86, 2328
86, 4403
86, 1300
86, 5142
86, 3087
86, 265
86, 1426
87, 6641
87, 5460
87, 4649
87, 722
87, 4241
87, 2243
87, 3155
87, 4241
87, 3396
87, 1542
87, 6496
87, 492
87, 3205
87, 492
87, 638
87, 6078
87, 5556
88, 5752
88, 297
88, 5492
88, 6594
88, 3861
88, 4648
88, 3861
88, 4189
88, 3861
88, 3780
88, 2284
89, 2392
89, 4239
89, 1961
89, 1420
89, 1837
89, 4397
89, 4400
90, 5200
90, 6195
90, 6195
90, 3445
90, 130
90, 130
90, 5200
90, 130
90, 2090
91, 5723
91, 3256
91, 3351
91, 3750
91, 4966
91, 722
91, 4966
91, 1677
91, 1557
91, 722
92, 1986
92, 163
92, 5406
92, 4616
92, 163
92, 4416
92, 413
92, 3858
92, 5406
93, 5733
93, 5450
93, 4161
93, 5878
93, 4643
93, 4098
94, 3306
94, 1220
94, 6728
94, 6728
94, 5464
94, 2695
94, 4981
94, 2648
94, 3400
94, 6728
95, 1311
95, 5201
95, 5609
95, 4877
95, 1073
96, 2284
96, 2737
96, 2427
96, 491
96, 6135
96, 977
96, 6415
96, 3781
96, 670
96, 5716
97, 991
97, 5144
97, 6078
97, 4617
97, 6078
98, 4471
98, 1982
98, 1986
98, 527
98, 1982
98, 1982
98, 4471
98, 1896
99, 6266
99, 6266
99, 5301
99, 3851
99, 6267
99, 6594
100, 1302
100, 6594
100, 5715
100, 3934
100, 4200
100, 5715
101, 231
101, 4259
101, 5703
101, 5704
101, 2757
101, 5704
101, 5503
101, 2757
101, 231
101, 6514
101, 4455
101, 5703
101, 5704
101, 4851
101, 1797
101, 3323
102, 1967
102, 3967
102, 540
102, 6734
102, 614
102, 3861
