Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
-58,-12,16,88,2
-58,-16,16,88,2
-58,-16,16,88,2
58,-30,23,41,2
-58,-30,23,88,2
-58,-30,23,88,2
-58,-30,32,88,2
58,-30,32,41,2
58,-24,32,41,2
58,-24,27,41,2
-58,-24,27,88,2
-58,-24,27,88,2
-58,-24,32,88,2
43,-24,25,41,2
-51,-24,25,88,2
-51,-24,25,88,2
-51,-24,20,88,2
56,-24,20,41,2
56,-20,20,41,2
56,-20,21,41,2
-60,-20,21,88,2
-60,-20,21,88,2
-60,-20,15,88,2
57,-20,18,41,2
-53,-20,18,88,2
-53,-20,18,88,2
-53,-20,19,88,2
62,-20,19,41,2
62,-20,19,41,2
62,-20,15,41,2
-54,-20,15,88,2
-54,-20,15,88,2
-54,-20,20,41,1
52,-22,20,41,2
-52,-22,20,88,2
-52,-22,20,41,1
-52,-22,21,88,2
51,-22,21,41,2
51,-21,21,41,2
51,-21,20,41,2
-52,-21,20,41,1
-52,-21,20,88,2
-52,-21,20,88,2
54,-32,25,41,2
57,-32,25,41,2
57,-20,25,41,2
57,-20,20,41,2
-58,-20,20,88,2
-58,-20,20,88,2
-58,-20,20,88,2
43,-25,16,41,2
48,-25,16,41,2
48,-18,16,41,2
48,-18,16,41,2
-46,-18,16,41,1
-46,-14,16,88,2
-46,-14,16,88,2
52,-23,16,41,2
53,-23,16,41,2
53,-12,16,41,2
53,-12,16,41,2
-42,-12,16,41,1
-42,-25,16,41,1
-42,-25,16,41,1
50,-27,19,41,2
-49,-17,17,88,2
-49,-20,17,88,2
-49,-20,17,88,2
-20,2,58,14,1
-40,-78,30,81,1
42,-74,32,62,1
-6,-52,8,16,1
18,-48,16,48,2
16,-52,16,55,1
-10,-62,20,85,2
10,-46,6,55,1
26,-26,-22,18,2
34,-68,-38,17,1
36,-78,-14,65,1
-36,-62,-22,99,1
40,-62,-24,30,2
-38,-44,-28,13,1
4,-32,-42,11,1
30,0,-20,25,1
26,-8,-26,70,2
-24,-2,-28,34,1
-12,-2,60,77,2
4,12,58,66,1
-28,-16,62,27,2
40,-2,62,39,2
-40,-34,46,38,1
40,-32,36,1,1
-32,-50,58,79,2
42,-48,54,1,1
-32,46,-6,25,1
30,50,-6,25,1
21,-58,60,16,2
42,-72,21,32,2
28,4,61,19,2
-54,-60,-6,10,2
33,45,-9,83,1
34,-78,16,98,1
3,30,45,77,2
12,-65,56,96,1
0,-54,60,72,2
42,-72,16,98,1
23,-78,33,16,2
25,1,55,19,2
-46,-54,-6,94,2
20,-60,61,69,2
45,-9,56,96,1
60,-55,-2,98,1
26,11,54,19,2
46,-60,26,98,1
-26,40,-12,83,1
32,58,-4,83,1
21,-75,52,96,1
25,-72,38,16,2
49,-6,41,96,1
59,-65,-1,98,1
0,-6,44,20,1
32,-7,53,96,1
9,-72,58,96,1
41,-43,37,71,2
-56,-62,-2,10,2
0,-46,10,20,2
26,-3,56,96,1
36,42,-14,3,2
6,26,48,74,2
56,10,32,52,1
35,63,-4,20,2
25,-62,63,69,2
52,-4,54,96,1
29,-3,67,96,1
-34,-74,30,16,2
58,-54,-12,98,1
40,2,32,52,1
60,14,26,52,1
52,-30,43,19,2
-2,6,58,66,1
0,30,46,83,2
31,-69,25,72,2
8,-66,58,96,1
32,-8,54,96,1
36,10,58,19,2
34,-20,70,19,2
43,-42,55,96,1
44,-70,-16,98,1
-32,48,30,23,1
33,41,32,91,2
-23,-96,0,44,2
26,-99,-3,46,1
-8,-21,-12,83,1
46,24,33,91,2
47,12,18,47,1
11,24,24,83,2
38,-30,33,54,1
26,57,33,35,2
35,48,24,91,2
20,18,18,67,1
59,-36,24,41,2
17,-48,33,93,1
35,18,33,26,1
59,3,24,46,1
25,-4,-14,74,1
-27,-3,-13,34,1
19,-5,-12,74,1
-18,-3,-12,34,1
20,-5,-15,74,1
-21,-5,-16,34,1
21,-6,-13,74,1
-22,-5,-14,74,1
23,-5,-13,74,1
-20,-5,-16,74,1
20,-5,-17,74,1
-21,-7,-16,74,1
20,-6,-12,74,1
-21,-4,-15,34,1
20,-8,-13,74,1
-18,-6,-14,74,1
20,-5,-15,74,1
-20,-2,-17,34,1
20,-6,-17,74,1
-20,-1,-17,34,1
20,-5,-14,74,1
-19,-4,-13,34,1
21,-8,-17,74,1
-24,-10,-18,34,1
21,-6,-14,74,1
-21,-4,-15,74,1
25,-4,-14,74,1
-27,-3,-13,74,1
19,-5,-12,74,1
-18,-3,-12,74,1
20,-5,-15,74,1
-21,-5,-16,74,1
21,-6,-13,74,1
-22,-5,-14,74,1
23,-5,-13,74,1
-20,-5,-16,74,1
20,-5,-17,74,1
-21,-7,-16,74,1
20,-6,-12,74,1
-21,-4,-15,74,1
20,-8,-13,74,1
-18,-6,-14,74,1
20,-5,-15,74,1
-20,-2,-17,34,1
20,-6,-17,74,1
-20,-1,-17,34,1
20,-5,-14,74,1
-19,-4,-13,34,1
21,-8,-17,74,1
-24,-10,-18,34,1
21,-6,-14,74,1
-21,-4,-15,34,1
-55,-2,45,24,2
-46,-7,46,24,2
50,0,52,52,1
45,1,55,95,2
46,1,45,22,2
31,0,45,12,1
32,0,43,4,2
-32,-3,43,6,1
-35,0,43,15,1
29,-75,10,6,2
23,-79,10,35,1
-28,-77,9,43,1
-26,-78,8,43,1
11,17,21,35,2
11,17,22,67,1
-10,13,24,23,1
-10,15,24,33,1
43,-49,-10,50,1
44,-50,-10,6,2
-46,-52,-10,43,1
-46,-51,-10,43,1
45,-38,32,71,2
46,-37,29,33,2
-45,-37,31,4,2
-46,-35,28,12,2
44,8,13,52,1
44,8,13,5,1
-44,5,14,50,2
-45,7,14,50,2
40,32,9,5,1
41,31,8,5,1
-39,34,9,15,1
-41,30,8,15,2
0,-6,-6,25,1
0,-24,-9,68,2
-15,-21,-12,25,1
12,-18,-12,74,1
9,-10,-21,25,1
-9,-3,15,71,1
6,-9,12,71,1
3,-27,9,71,1
0,-9,3,68,1
6,-18,0,71,1
18,9,12,68,2
24,-12,12,71,1
18,6,-3,68,1
18,-9,-6,74,1
15,18,-6,25,1
-27,12,3,25,1
-12,15,-3,25,1
18,0,-15,74,1
-18,3,42,69,1
3,-18,39,96,1
6,15,36,33,1
18,18,33,68,2
0,-6,30,68,2
0,24,30,33,1
21,-9,30,68,2
6,-21,27,68,2
21,36,15,33,1
-21,36,3,2,2
3,24,-9,25,1
-9,18,-9,25,1
-21,18,-12,25,1
15,18,60,22,2
-12,18,57,64,1
12,30,54,22,2
9,12,51,64,1
6,39,48,68,2
21,42,45,33,1
-30,-54,-9,78,2
24,-69,0,98,1
-6,-81,0,30,2
6,-45,54,72,2
11,-60,30,21,1
-18,-63,60,58,2
15,-63,57,69,2
33,-75,36,29,1
-21,-30,48,41,1
33,-75,36,98,1
-12,15,54,69,1
30,12,51,58,1
30,48,12,3,2
33,45,36,91,2
15,39,24,3,2
-42,15,21,89,2
-18,-42,-9,61,1
21,-42,-6,21,1
-45,-9,9,78,2
-30,-66,-15,10,2
24,-72,0,98,1
-18,-81,-9,30,2
-6,-81,0,21,1
39,-81,21,98,1
33,-78,39,29,1
15,-93,24,72,2
-18,-66,60,58,2
15,-63,57,69,2
-15,15,57,69,1
-24,0,60,69,1
-51,21,33,59,2
30,12,51,58,1
24,-30,9,78,1
-36,-15,18,41,1
45,-15,15,41,2
-12,-45,60,96,1
9,-48,69,16,2
-12,-42,-18,61,1
21,-39,-12,61,1
21,-78,48,16,2
24,-60,21,21,1
-9,-18,48,41,1
18,-84,15,98,1
54,-51,15,98,1
54,-48,24,98,1
-15,-15,48,96,1
-33,-57,-15,10,2
-45,-60,0,72,1
39,-63,-3,98,1
-24,-66,51,58,2
36,-81,21,98,1
-33,-9,27,61,2
-6,39,57,59,1
28,26,11,46,1
-16,-10,-5,31,2
45,-63,5,31,1
-13,-8,-4,10,1
8,-15,-1,45,2
-20,-75,-27,31,1
27,-80,21,31,1
60,-36,12,41,2
-48,-32,8,28,2
56,10,28,48,1
-54,2,32,45,1
64,-24,12,41,2
-42,-34,4,36,1
-46,-40,24,54,2
48,-30,12,41,2
-56,-32,12,36,1
64,-24,10,41,2
-56,-30,12,36,1
48,-30,12,41,2
-46,-28,6,36,1
62,-8,4,41,2
-56,-14,4,36,1
-55,-31,17,36,1
-58,-42,2,41,1
66,-30,6,36,2
-70,-28,4,36,1
-59,-32,14,36,1
62,-22,6,41,2
-60,-28,8,36,1
62,-30,12,41,2
-66,-16,8,36,1
66,-24,12,36,2
-56,-32,12,54,2
60,-36,12,41,2
-48,-32,8,54,2
64,-24,12,41,2
-42,-34,4,87,2
-28,-94,-8,24,1
-46,-66,-18,10,2
22,-98,-16,24,1
46,-68,-14,32,2
28,-94,-4,24,1
-48,-66,-12,10,2
-38,-80,16,24,1
-34,-40,-18,47,2
44,-76,-16,46,2
-48,8,28,50,2
-48,32,20,89,2
-36,24,-8,82,1
28,0,60,22,2
32,60,4,3,2
28,8,48,22,2
32,24,-12,25,1
-36,60,0,89,2
0,20,36,20,1
-44,-44,40,54,2
8,-68,48,16,2
8,-68,48,16,2
8,-80,-28,31,1
-12,-80,-28,65,2
-36,-64,-48,75,1
32,-64,-36,99,1
-28,-92,-12,16,1
24,-92,-4,44,2
-4,-56,24,16,2
-12,-56,64,16,2
12,-60,60,16,2
-20,-64,0,3,1
-24,-72,-16,16,1
16,-60,0,90,2
24,-72,-16,90,2
-20,-60,60,81,1
12,-60,60,16,2
-16,-60,-4,16,1
12,-64,0,90,2
44,-64,12,31,1
56,-52,0,22,1
-4,-56,52,16,2
-16,-84,36,16,2
32,-80,32,16,2
44,-68,12,90,2
12,-92,0,90,2
-50,22,26,59,2
42,6,32,91,2
-34,26,2,76,2
38,-60,52,100,1
-34,-68,50,44,1
28,26,-2,51,2
-6,6,24,98,2
50,18,30,91,2
36,20,12,23,1
-34,20,-8,76,2
6,26,28,17,2
-14,-2,52,91,1
-8,44,42,23,1
46,24,26,91,2
40,24,38,91,2
-4,36,24,23,1
-32,40,22,23,1
6,-62,42,85,2
-4,-72,16,12,2
4,16,0,7,1
4,15,0,8,1
3,28,-5,25,1
3,23,-5,49,2
-1,39,-2,25,1
-1,32,-2,25,1
2,22,-4,8,1
2,21,-4,25,1
-1,27,-5,83,1
-1,19,-5,83,1
3,8,-10,25,1
3,8,-10,7,1
3,13,-4,83,1
3,13,-4,8,1
-6,1,-2,8,1
-6,1,-2,7,2
1,8,-4,8,1
1,8,-4,8,1
4,5,4,7,2
4,5,4,7,2
1,26,-3,8,1
1,22,-3,8,1
2,5,2,7,2
2,5,2,7,2
1,11,1,75,2
1,11,1,7,2
2,3,4,7,2
2,2,3,7,2
2,2,3,7,2
2,2,3,17,1
2,2,3,99,2
3,17,49,77,2
-41,5,32,50,2
49,9,31,55,2
-54,35,6,48,2
3,17,50,77,2
-45,7,24,50,2
49,9,31,2,1
-55,28,8,48,2
2,17,50,21,2
-42,5,30,50,2
-52,26,5,2,2
1,18,50,77,2
-39,54,12,59,2
21,-66,39,8,2
48,-51,-21,6,2
-54,-60,-15,10,2
24,48,0,3,2
-48,42,15,59,2
-60,12,27,59,2
-3,27,33,19,2
-48,48,0,34,1
-33,51,27,59,2
-12,45,-6,3,2
6,42,-3,83,1
-48,6,-27,70,1
-27,39,-12,3,2
42,6,-30,92,2
36,3,-18,74,1
-20,45,1,66,2
-34,5,18,40,1
-22,21,-8,98,2
6,-6,-12,37,1
-16,-68,60,54,2
28,-64,58,100,1
-4,18,40,43,2
8,20,34,100,2
-32,38,28,100,2
-36,22,-10,82,1
38,26,-10,85,1
-36,4,28,66,2
-24,38,-18,92,1
46,14,0,39,2
6,-92,-12,61,1
38,-72,36,60,2
-30,32,24,39,1
8,-78,32,30,2
24,-72,-12,39,1
20,-62,40,30,2
28,-32,40,71,2
-36,-36,-8,53,2
-8,34,4,39,1
-24,-70,-16,53,2
4,4,28,39,1
-21,63,3,100,2
-10,9,53,12,1
-8,21,38,100,2
-5,-18,53,42,1
-8,3,60,42,1
-2,21,37,9,2
-15,54,21,100,2
7,53,20,43,2
-8,48,2,100,2
-18,43,1,2,2
-15,48,-10,100,2
2,51,16,100,2
-12,57,12,100,2
-9,49,-8,100,2
-9,32,53,100,2
-23,31,18,5,2
1,8,61,97,1
19,5,-12,3,2
-15,-4,-6,19,1
-21,-10,-8,16,1
54,-23,32,19,2
4,-31,18,97,2
-17,-71,53,81,1
-15,-71,49,29,1
21,-67,48,1,1
15,-71,53,62,1
-41,-38,39,10,1
-49,-48,45,81,1
37,-45,45,35,1
46,-47,44,100,1
37,13,38,3,2
-35,-55,44,44,1
59,-41,28,94,1
33,-59,50,100,1
53,-47,18,60,2
27,-61,40,100,1
15,-65,36,29,1
29,-67,26,94,1
9,-75,44,100,1
41,-65,-6,65,1
-35,13,2,76,2
-43,-63,-8,16,1
37,17,2,76,1
33,-83,-4,65,1
33,21,8,76,1
35,-81,8,65,1
37,5,26,26,1
7,11,44,76,1
43,-3,42,1,2
54,30,21,49,2
-48,27,21,59,2
33,6,27,76,1
-48,9,21,50,2
45,-51,54,100,1
-36,-60,57,81,1
51,-27,45,71,2
-42,-21,54,27,2
-6,54,12,76,1
-6,36,-12,25,1
42,-12,6,76,1
-45,-18,12,36,1
51,15,-9,76,1
-45,12,-9,76,2
36,9,0,76,1
-42,9,-6,76,2
24,0,-24,25,1
-27,0,-27,25,1
36,18,36,48,1
38,10,58,81,2
38,2,40,55,2
46,10,24,80,1
36,24,-6,76,1
-40,8,38,64,2
0,36,40,9,2
6,18,50,35,2
4,30,58,81,2
0,48,34,49,2
48,-24,-6,62,2
4,-74,40,94,1
60,-52,12,35,1
60,-22,-14,35,1
12,-32,46,81,2
-56,-48,42,81,1
-48,12,20,64,2
-40,42,14,89,2
-38,2,36,64,2
-48,-64,-10,10,2
-10,-70,60,81,1
14,-76,18,37,2
12,-58,62,94,1
-52,-36,42,81,1
-28,-78,34,81,1
38,24,-2,3,2
8,32,52,3,2
42,-42,40,8,2
10,10,52,11,2
5,-68,8,29,1
0,-80,8,72,2
-41,-69,0,10,2
41,-68,1,90,2
-32,-43,-17,47,2
30,-44,-18,96,2
-28,-11,55,57,1
-38,-49,55,36,1
27,21,30,46,1
46,-23,30,71,2
-38,-6,36,29,2
32,29,21,93,2
24,-72,2,16,2
-29,49,1,11,2
-18,13,57,95,2
54,-7,21,14,2
-54,-7,21,66,2
1,-9,56,77,2
0,-35,40,42,2
0,47,-12,11,2
-50,2,-2,28,2
0,-20,3,38,2
-28,-74,-16,72,1
-24,-92,18,90,1
-52,-74,4,72,1
-28,-64,58,81,1
26,-72,-10,90,2
36,-78,18,98,1
50,-70,-2,98,1
-48,-20,48,27,2
-52,-20,10,54,2
-22,-76,-8,72,1
-20,-98,16,72,2
-40,-88,4,90,1
-8,-90,0,90,2
-14,-62,60,72,2
30,-78,-10,6,2
40,-82,0,90,2
20,-92,20,98,1
-46,-18,60,54,2
-48,-22,20,54,2
56,-28,20,62,1
-32,-74,-22,72,1
-36,-80,-22,72,1
-24,-76,-20,72,1
32,-80,-22,90,2
26,-76,-10,6,2
22,-74,-10,6,2
-34,-76,-16,72,1
-34,-72,-16,72,1
-24,-78,-18,72,1
22,-88,14,72,2
30,-74,0,98,1
-3,54,3,85,1
-32,20,49,12,1
39,25,33,91,2
5,51,14,85,1
24,42,33,35,2
28,46,16,91,2
30,44,25,91,2
47,13,14,91,2
-33,23,-22,91,1
0,36,-2,85,1
5,19,42,12,1
-1,31,-10,85,1
-19,-40,64,57,1
8,-64,47,85,2
-12,-72,50,16,2
30,-72,33,35,1
-5,-48,29,85,2
44,-47,41,35,1
54,-38,34,35,1
40,-44,33,45,2
34,18,5,5,1
9,-17,11,85,1
-52,-11,-10,36,1
47,-46,-11,35,1
-46,45,0,64,2
-11,-24,62,57,1
2,42,43,35,2
-50,-38,32,36,1
-26,9,-25,34,1
48,22,25,32,2
-52,13,10,50,2
-52,13,-10,25,1
48,13,-11,51,2
49,4,39,52,1
-56,4,37,24,2
-25,-4,13,24,2
-21,-12,-8,25,1
-7,-19,3,71,1
58,-38,9,60,2
-59,-38,6,60,1
41,13,27,32,2
-48,4,52,15,1
45,4,32,52,1
-6,4,52,4,2
-53,-4,-5,36,1
-26,-4,7,84,2
58,-38,10,84,1
-38,4,-19,74,1
-28,-19,1,84,2
42,-69,38,29,1
-22,-98,13,3,1
18,-98,15,98,1
33,16,57,4,2
14,-60,26,4,2
45,-51,-12,98,1
44,43,7,3,2
-5,34,51,4,2
10,37,43,4,2
-51,39,-2,34,1
-27,61,5,3,2
-47,-2,-7,60,1
-51,-69,38,29,1
-47,-20,10,87,2
31,33,-7,48,2
15,-59,20,21,1
14,-62,32,4,2
3,-39,32,4,2
1,-74,43,29,1
-10,-67,35,29,1
37,-67,40,35,1
15,-83,-5,44,2
-19,-98,13,44,2
24,-46,-14,77,1
34,13,50,4,2
42,21,30,3,2
49,-46,-6,98,1
-8,0,61,69,1
-19,-55,62,58,2
-34,36,33,29,2
16,-10,27,4,2
-46,-5,50,79,1
-4,-73,43,79,2
4,-87,2,90,2
4,-71,22,21,1
9,-68,-28,44,2
-9,-68,4,90,2
13,-52,-11,4,1
17,-33,9,4,1
-27,-3,60,57,1
36,-6,60,58,1
-30,-60,57,79,2
-39,-36,57,44,1
27,-69,54,79,2
9,6,51,88,1
-24,-87,15,24,1
21,-78,-12,65,1
-21,-54,-21,10,2
-9,-72,-12,44,2
36,-90,9,44,2
36,-81,21,100,1
18,-90,-12,44,2
12,-96,-6,44,2
-15,-99,-12,24,1
-27,-84,-15,10,2
-9,-21,9,71,1
51,21,21,51,2
-24,0,60,57,1
-48,6,30,50,2
33,-3,60,58,1
54,21,21,51,2
-45,15,27,50,2
-3,9,57,57,1
51,9,36,52,1
3,27,39,30,1
-30,-57,45,58,2
0,-63,45,29,1
-27,-84,21,24,1
42,-51,54,1,1
-18,-81,51,44,1
-6,-93,-6,24,1
3,-72,12,97,2
-15,-72,6,30,2
18,-30,15,93,1
15,-21,15,71,1
-12,-24,15,71,1
6,-30,-3,75,2
-3,-30,-3,75,2
36,30,-18,51,2
-33,-57,-18,10,2
-9,-66,-3,93,1
24,-69,-9,97,2
12,-93,-6,44,2
-30,21,-3,92,1
0,-48,-3,93,1
-27,-78,-12,44,2
-54,-21,24,88,2
-27,-3,63,57,1
-33,-21,60,57,1
-27,-66,57,58,2
33,-3,60,58,1
33,-87,9,24,1
45,-33,42,58,1
-15,-99,-12,44,2
-3,15,45,57,1
-54,-18,21,24,2
24,-93,-15,82,2
15,-99,-9,44,2
30,-78,-15,65,1
42,48,-18,51,2
27,12,-9,92,2
27,21,-12,85,1
21,6,-3,92,2
-54,6,0,57,2
-63,6,12,57,2
24,-54,-21,99,1
-12,-21,15,71,1
-24,-3,60,17,2
-42,-30,54,57,1
-3,6,51,17,2
-48,0,36,50,2
12,9,48,58,1
33,0,60,58,1
39,-3,48,58,1
-21,-84,48,58,2
-30,-96,6,44,2
-30,-57,54,58,2
-30,-87,15,97,2
18,-96,-12,44,2
39,-54,54,1,1
30,-45,-21,17,1
6,-57,-9,75,2
18,-63,-15,65,1
57,6,33,52,1
48,6,30,52,1
24,-69,54,1,1
48,-24,51,58,1
42,-33,42,1,1
21,-63,60,1,1
24,-72,54,1,1
33,-69,54,79,2
-39,-51,60,58,2
-18,-60,66,79,2
-30,-57,57,58,2
39,45,6,93,2
30,51,15,92,2
-12,-66,48,79,2
-12,-3,15,71,1
-30,-21,63,57,1
-54,6,3,57,2
57,-42,51,58,1
-48,-66,3,43,1
-48,-75,3,24,1
-6,54,39,93,2
66,-6,18,71,2
27,-33,-15,50,1
21,-33,54,52,2
-18,-54,-6,65,2
-42,-51,60,58,2
-39,-51,45,58,2
-15,-96,0,24,1
3,-93,3,24,1
18,-99,12,44,2
36,-81,0,44,2
42,-72,-12,65,1
48,24,0,51,2
39,-60,51,1,1
39,-48,39,1,1
-9,0,63,57,1
42,-48,-15,65,1
36,6,27,52,1
-15,-78,-12,65,2
24,-69,-6,65,1
-15,-72,48,58,2
-30,6,63,56,2
-39,36,27,59,2
-30,21,0,92,1
-60,-21,3,88,2
-57,-15,-3,57,2
-18,-33,72,57,1
-27,-39,72,58,2
-24,-45,-27,65,2
3,60,15,93,2
0,51,15,93,2
-9,60,15,56,2
-42,3,42,79,1
-45,-6,39,57,1
-15,51,33,33,1
9,-51,15,93,1
6,-60,15,97,2
36,6,60,57,1
36,-6,-30,85,1
36,-15,-21,92,2
-33,27,42,22,2
3,51,39,93,2
6,-51,3,93,1
15,-57,-21,65,1
-45,-51,5,7,1
49,-41,0,84,1
-53,-17,-21,28,2
-42,17,15,66,2
43,20,10,7,1
2,28,37,4,2
-24,-67,35,79,2
49,-45,31,60,2
-36,-38,40,79,1
16,9,6,7,1
-18,4,2,84,2
-42,-54,13,28,1
47,-46,-4,98,1
-40,12,20,28,2
45,17,21,2,1
41,23,-11,7,1
1,30,33,22,2
32,-44,34,4,2
16,7,9,7,1
-13,0,10,7,1
28,-83,-6,44,2
26,-76,23,94,1
-53,-27,4,28,2
53,-19,-1,84,1
-43,9,33,66,2
4,26,41,74,2
46,13,30,52,1
-44,29,-6,15,2
52,23,10,7,1
44,-54,-17,70,2
11,-50,-9,56,1
-24,2,5,92,1
29,2,8,56,1
2,51,29,56,2
7,-61,42,29,1
9,-48,50,29,1
-2,10,56,64,1
2,-16,53,19,2
4,20,50,64,1
-11,-37,-24,47,2
-31,-58,16,52,2
-21,-9,38,56,2
12,-21,53,19,2
-25,-3,8,19,1
32,0,11,47,1
-28,4,-8,84,2
-29,-3,-8,92,1
29,-19,52,14,2
39,-15,43,14,2
39,-15,43,54,1
41,-25,44,14,2
41,-25,44,14,2
48,-19,30,54,1
48,-19,30,14,2
31,-19,55,14,2
31,-19,55,14,2
31,-27,51,14,2
31,-27,51,14,2
50,-15,41,14,2
50,-15,41,1,2
31,-21,60,14,2
31,-21,60,14,2
24,-19,57,14,1
24,-19,57,14,1
25,-23,50,14,1
25,-23,50,14,1
-33,-17,52,57,1
-34,-11,55,57,1
-34,-11,55,57,1
-45,-31,44,57,1
-45,-31,44,57,1
-55,-22,32,54,2
-55,-22,32,54,2
-48,-26,34,54,2
-48,-26,34,88,2
-34,-40,55,54,2
-34,-40,55,54,2
-36,-9,50,73,2
-36,-9,50,57,1
40,-36,49,14,2
41,-36,42,1,1
41,-36,42,54,1
40,-36,47,14,2
40,-36,47,14,2
45,-30,39,1,1
45,-30,39,54,1
24,-52,46,1,1
24,-52,46,54,1
36,-50,52,1,1
36,-50,52,54,1
-27,-40,50,54,2
-43,-36,45,54,2
-43,-36,45,73,2
-26,-44,43,54,2
-26,-44,43,54,2
-43,-30,33,54,2
-43,-30,33,54,2
-40,-40,55,54,2
-45,-34,35,73,2
-45,-34,35,88,2
-36,-34,42,54,2
-36,-34,42,54,2
-52,-25,21,54,2
-52,-25,21,54,2
-48,-32,19,54,2
-48,-32,19,54,2
-27,-46,52,57,1
-27,-46,52,54,2
-20,-50,50,54,2
-20,-50,50,73,2
39,-7,40,14,2
39,-7,40,67,1
48,-1,26,14,2
48,-1,26,14,2
-55,4,23,54,2
-55,4,23,54,2
-52,1,33,64,2
-52,1,33,54,2
52,-22,14,41,2
52,-22,14,41,2
45,1,5,5,1
45,1,5,5,1
-54,-26,12,54,2
-54,-26,12,41,1
-50,10,2,57,2
-50,10,2,82,1
-45,-25,12,54,2
-45,-25,12,88,2
-47,-21,13,54,2
-47,-21,13,54,2
15,-63,-12,61,1
17,-60,-26,82,2
17,-60,-26,82,2
17,-58,-23,61,1
17,-58,-23,61,1
-22,-52,-31,82,2
-22,-52,-31,61,1
-17,-58,-26,82,2
-17,-58,-26,61,1
6,-67,-18,61,1
-3,-69,-20,82,2
-3,-69,-20,61,1
-4,-67,-20,61,1
-4,-67,-20,82,2
-6,-58,10,97,2
-6,-58,10,97,2
8,-65,-25,82,2
1,-38,-7,61,1
1,-38,-7,61,1
8,-73,-20,61,1
8,-73,-20,61,1
-5,-69,-21,82,2
-5,-69,-21,82,2
10,-73,-21,75,2
10,-73,-21,61,1
40,-15,43,14,2
22,-25,56,14,1
41,-40,24,54,1
32,-31,30,54,1
-35,-34,28,54,2
38,-9,38,54,1
-45,-10,31,54,2
31,24,1,5,1
45,-20,14,54,1
36,20,4,5,1
-33,10,-6,57,2
32,-96,4,63,1
-46,-76,-8,36,1
20,-84,36,8,2
30,-74,46,43,2
-24,-56,-24,56,1
-48,-8,56,13,2
12,-56,-16,95,1
20,-96,12,44,2
-30,-92,8,44,2
-48,-8,56,14,1
-36,-20,48,73,2
20,60,1,3,2
56,16,8,49,2
36,-48,62,1,1
56,-28,24,41,2
28,-56,52,1,1
44,-60,16,35,1
44,40,28,97,1
-56,8,40,45,1
56,-52,44,1,1
4,-56,48,72,2
-52,-56,-12,75,1
32,-76,-16,65,1
-16,-84,-12,44,2
-8,-84,8,44,2
-49,-29,10,88,2
-46,-23,6,88,2
48,-18,10,41,2
48,-14,5,41,2
26,59,22,92,2
34,-55,29,62,1
-35,-18,60,41,1
-38,-10,11,42,2
46,-12,13,41,2
51,-54,43,100,1
55,-13,41,58,1
25,-51,-16,95,1
15,-66,-13,95,1
-50,-32,14,42,2
48,-16,10,41,2
28,-84,34,72,2
30,-51,58,69,2
-40,-73,7,72,1
42,-85,19,72,2
50,-68,7,98,1
34,-72,0,98,1
20,-80,-13,6,2
-42,-68,9,38,1
-20,-73,-13,72,1
26,-86,25,98,1
30,-53,62,69,2
-44,-68,-8,87,2
-20,-76,24,16,2
-16,-80,36,72,2
-18,-68,48,79,2
-8,-66,52,79,2
22,-68,52,69,2
36,-8,60,14,2
10,-76,8,30,2
-16,-80,36,72,2
22,-70,52,79,2
-18,-68,48,72,2
-36,-54,52,79,2
24,-66,52,96,1
-38,22,0,64,2
-46,28,26,89,2
8,14,46,42,1
-8,14,52,42,1
44,12,4,49,2
2,14,64,64,1
2,30,56,64,1
50,36,26,55,2
-44,18,30,64,2
-50,44,-6,89,2
-52,38,6,89,2
30,12,-4,51,2
34,28,0,5,1
-2,14,58,64,1
-42,0,40,64,2
26,-2,58,49,2
48,8,22,91,2
30,24,6,49,2
-20,2,68,42,1
-30,10,48,64,2
-10,26,50,42,1
-40,12,28,89,2
-48,18,28,64,2
-20,-2,60,42,1
30,16,44,55,2
22,4,40,67,1
-20,-2,56,42,1
14,24,-8,83,1
-54,-2,34,89,2
-50,38,20,89,2
-50,40,-2,89,2
-42,38,-6,83,1
-20,2,26,42,2
0,2,28,42,1
20,-2,50,67,1
28,-6,40,55,2
-52,30,20,29,2
-38,40,-8,61,1
-52,-8,8,36,1
64,-16,40,19,2
66,-12,22,36,2
50,-20,16,36,2
-2,60,36,56,2
54,-48,40,19,2
4,6,58,42,1
-38,-8,30,53,2
-54,32,22,15,1
58,-4,42,19,2
66,-50,12,84,1
-28,-16,-8,19,1
-26,-82,42,81,1
58,-42,50,19,2
-40,-10,50,27,2
50,28,-4,2,1
58,-24,0,36,2
16,-82,48,1,1
-28,-74,12,3,1
-3,36,36,97,1
-45,21,24,15,2
15,-72,15,97,2
21,-57,6,97,2
-15,15,3,8,1
-60,-51,0,75,1
21,-87,-3,24,1
-27,-90,-6,44,2
-27,-3,-6,84,2
42,21,-9,84,1
12,-54,-9,4,1
36,-69,-24,77,1
-36,-57,-27,75,1
15,-78,-30,38,2
0,-60,-33,31,1
-3,21,51,77,2
0,39,39,97,1
-27,-51,36,28,1
-45,30,12,15,1
12,-63,12,4,1
-18,-90,-3,24,1
-30,-6,-3,84,2
39,27,-9,85,1
30,-78,-9,95,1
-45,-60,-21,75,1
9,-75,-30,31,1
-48,18,18,15,1
-12,0,15,8,1
